contig_id,start_position,coverage
contig_597,1,0.00
contig_598,1,0.00
contig_599,1,0.00
contig_600,1,0.00
contig_601,1,0.00
contig_602,1,0.00
contig_603,1,0.00
contig_604,1,0.00
contig_605,1,0.00
contig_606,1,0.00
contig_607,1,0.00
contig_608,1,0.00
contig_609,1,0.00
contig_610,1,0.00
contig_611,1,0.00
contig_612,1,0.00
contig_613,1,0.00
contig_614,1,0.00
contig_615,1,0.00
contig_616,1,0.00
contig_617,1,0.00
contig_618,1,0.00
contig_619,1,0.00
contig_620,1,0.00
contig_621,1,0.00
contig_622,1,0.00
contig_623,1,0.00
contig_624,1,0.00
contig_625,1,0.00
contig_626,1,0.00
contig_627,1,0.00
contig_628,1,0.00
contig_629,1,0.00
contig_630,1,0.00
contig_631,1,0.00
contig_632,1,0.00
contig_633,1,0.00
contig_634,1,0.00
contig_635,1,0.00
contig_636,1,0.00
contig_637,1,0.00
contig_638,1,0.00
contig_639,1,0.00
contig_640,1,0.00
contig_641,1,0.00
contig_642,1,0.00
contig_643,1,0.00
contig_644,1,0.00
contig_645,1,0.00
contig_646,1,0.00
contig_647,1,0.00
contig_648,1,0.00
contig_649,1,0.00
contig_650,1,0.00
contig_651,1,0.00
contig_652,1,0.00
contig_653,1,0.00
contig_654,1,0.00
contig_655,1,0.00
contig_656,1,0.00
contig_657,1,0.00
contig_658,1,0.00
contig_659,1,0.00
contig_660,1,0.00
contig_661,1,0.00
contig_662,1,0.00
contig_663,1,0.00
contig_664,1,0.00
contig_665,1,0.00
contig_666,1,0.00
contig_667,1,0.00
contig_668,1,0.00
contig_669,1,0.00
contig_670,1,0.00
contig_671,1,0.00
contig_672,1,0.00
contig_673,1,0.00
contig_674,1,0.00
contig_675,1,0.00
contig_676,1,0.00
contig_677,1,0.00
contig_678,1,0.00
contig_679,1,0.00
contig_680,1,0.00
contig_681,1,0.00
contig_682,1,0.00
contig_683,1,0.00
contig_684,1,0.00
contig_685,1,0.00
contig_686,1,0.00
contig_687,1,0.00
contig_688,1,0.00
contig_689,1,0.00
contig_690,1,0.00
contig_691,1,0.00
contig_692,1,0.00
contig_693,1,0.00
contig_694,1,0.00
contig_695,1,0.00
contig_696,1,0.00
contig_697,1,0.00
contig_698,1,0.00
contig_699,1,0.00
contig_700,1,0.00
contig_701,1,0.00
contig_702,1,0.00
contig_703,1,0.00
contig_704,1,0.00
contig_705,1,0.00
contig_706,1,0.00
contig_707,1,0.00
contig_708,1,0.00
contig_709,1,0.00
contig_710,1,0.00
contig_711,1,0.00
contig_712,1,0.00
contig_713,1,0.00
contig_714,1,0.00
contig_715,1,0.00
contig_716,1,0.00
contig_717,1,0.00
contig_718,1,0.00
contig_719,1,0.00
contig_720,1,0.00
contig_721,1,0.00
contig_722,1,0.00
contig_723,1,0.00
contig_724,1,0.00
contig_725,1,0.00
contig_726,1,0.00
contig_727,1,0.00
contig_728,1,0.00
contig_729,1,0.00
contig_730,1,0.00
contig_731,1,0.00
contig_732,1,0.00
contig_733,1,0.00
contig_734,1,0.00
contig_735,1,0.00
contig_736,1,0.00
contig_737,1,0.00
contig_738,1,0.00
contig_739,1,0.00
contig_740,1,0.00
contig_741,1,0.00
contig_742,1,0.00
contig_743,1,0.00
contig_744,1,0.00
contig_745,1,0.00
contig_746,1,0.00
contig_747,1,0.00
contig_748,1,0.00
contig_749,1,0.00
contig_750,1,0.00
contig_751,1,0.00
contig_752,1,0.00
contig_753,1,0.00
contig_754,1,0.00
contig_755,1,0.00
contig_756,1,0.00
contig_757,1,0.00
contig_758,1,0.00
contig_759,1,0.00
contig_760,1,0.00
contig_761,1,0.00
contig_762,1,0.00
contig_763,1,0.00
contig_764,1,0.00
contig_765,1,0.00
contig_766,1,0.00
contig_767,1,0.00
contig_768,1,0.00
contig_769,1,0.00
contig_770,1,0.00
contig_771,1,0.00
contig_772,1,0.00
contig_773,1,0.00
contig_774,1,0.00
contig_775,1,0.00
contig_776,1,0.00
contig_777,1,0.00
contig_778,1,0.00
contig_779,1,0.00
contig_780,1,0.00
contig_781,1,0.00
contig_782,1,0.00
contig_783,1,0.00
contig_784,1,0.00
contig_785,1,0.00
contig_786,1,0.00
contig_787,1,0.00
contig_788,1,0.00
contig_789,1,0.00
contig_790,1,0.00
contig_791,1,0.00
contig_792,1,0.00
contig_793,1,0.00
contig_794,1,0.00
contig_795,1,0.00
contig_796,1,0.00
contig_797,1,0.00
contig_798,1,0.00
contig_799,1,0.00
contig_800,1,0.00
contig_801,1,0.00
contig_802,1,0.00
contig_803,1,0.00
contig_804,1,0.00
contig_805,1,0.00
contig_806,1,0.00
contig_807,1,0.00
contig_808,1,0.00
contig_809,1,0.00
contig_810,1,0.00
contig_811,1,0.00
contig_812,1,0.00
contig_813,1,0.00
contig_814,1,0.00
contig_815,1,0.00
contig_816,1,0.00
contig_817,1,0.00
contig_818,1,0.00
contig_819,1,0.00
contig_820,1,0.00
contig_821,1,0.00
contig_822,1,0.00
contig_823,1,0.00
contig_824,1,0.00
contig_825,1,0.00
contig_826,1,0.00
contig_827,1,0.00
contig_828,1,0.00
contig_829,1,0.00
contig_830,1,0.00
contig_831,1,0.00
contig_832,1,0.00
contig_833,1,0.00
contig_834,1,0.00
contig_835,1,0.00
contig_836,1,0.00
contig_837,1,0.00
contig_838,1,0.00
contig_839,1,0.00
contig_840,1,0.00
contig_841,1,0.00
contig_842,1,0.00
contig_843,1,0.00
